,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
macro avg,,,,,,0.5897026385300879,0.5151332097145002,0.5229073658988148,11501.0
weighted avg,,,,,,0.9234035697007689,0.9255716894183115,0.9236282144970774,11501.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.5417495029821073,0.6172140430351076,0.5770248808893594,0.9017607223476298,test,,,,
B-ADR,,,,,,0.695583596214511,0.7805309734513274,0.7356130108423686,565.0
B-Disease,,,,,,0.3157894736842105,0.24,0.2727272727272727,25.0
B-Drug,,,,,,0.9329268292682927,0.9444444444444444,0.9386503067484663,162.0
B-Finding,,,,,,0.2727272727272727,0.045454545454545456,0.07792207792207792,66.0
B-Symptom,,,,,,1.0,0.037037037037037035,0.07142857142857142,27.0
I-ADR,,,,,,0.7299638989169676,0.7556053811659192,0.7425633492471538,1338.0
I-Disease,,,,,,0.15328467153284672,0.3559322033898305,0.21428571428571427,59.0
I-Drug,,,,,,0.8911290322580645,0.9208333333333333,0.9057377049180327,240.0
I-Finding,,,,,,0.5294117647058824,0.1267605633802817,0.20454545454545456,142.0
I-Symptom,,,,,,0.0,0.0,0.0,26.0
O,,,,,,0.9609097370291401,0.9628486646884273,0.9618782237505188,8425.0
accuracy,,,,,,0.9017607223476298,0.9017607223476298,0.9017607223476298,0.9017607223476298
macro avg,,,,,,0.5892478433033808,0.46994974057683153,0.465941062401421,11075.0
weighted avg,,,,,,0.8999982916674296,0.9017607223476298,0.8973373786427316,11075.0
