,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
I-ADR,,,,,,0.7949965253648367,0.833211944646759,0.813655761024182,1373.0
I-Disease,,,,,,0.2558139534883721,0.4888888888888889,0.33587786259541985,45.0
I-Drug,,,,,,0.9536679536679536,0.9762845849802372,0.96484375,253.0
I-Finding,,,,,,0.3620689655172414,0.21428571428571427,0.2692307692307692,98.0
I-Symptom,,,,,,0.0,0.0,0.0,23.0
O,,,,,,0.9715161143894689,0.9642937598558233,0.9678914641040136,8878.0
accuracy,,,,,,0.9273976175984697,0.9273976175984697,0.9273976175984697,0.9273976175984697
macro avg,,,,,,0.6080963879713763,0.5389669314399022,0.5403052927451761,11501.0
weighted avg,,,,,,0.9268427115326714,0.9273976175984697,0.9261931980902103,11501.0
,precision,recall,f1,accuracy,dataset,precision,recall,f1-score,support
0,0.5426052889324192,0.6274065685164213,0.5819327731092437,0.9030248306997742,test,,,,
B-ADR,,,,,,0.696969696969697,0.8141592920353983,0.7510204081632653,565.0
B-Disease,,,,,,0.2413793103448276,0.28,0.25925925925925924,25.0
B-Drug,,,,,,0.9034090909090909,0.9814814814814815,0.9408284023668639,162.0
B-Finding,,,,,,0.42857142857142855,0.09090909090909091,0.15,66.0
B-Symptom,,,,,,0.0,0.0,0.0,27.0
I-ADR,,,,,,0.7688751926040062,0.7458893871449925,0.7572078907435509,1338.0
I-Disease,,,,,,0.21052631578947367,0.4745762711864407,0.2916666666666667,59.0
I-Drug,,,,,,0.8401486988847584,0.9416666666666667,0.888015717092338,240.0
I-Finding,,,,,,0.4230769230769231,0.07746478873239436,0.13095238095238096,142.0
I-Symptom,,,,,,0.0,0.0,0.0,26.0
O,,,,,,0.9570247933884297,0.9621364985163204,0.9595738384137319,8425.0
accuracy,,,,,,0.9030248306997742,0.9030248306997742,0.9030248306997742,0.9030248306997742
macro avg,,,,,,0.4972710409580577,0.4880257706066169,0.46622950578709615,11075.0
weighted avg,,,,,,0.8975424744019875,0.9030248306997742,0.8974811109036978,11075.0
